"","PersonID","session","rt"
"116",127,2,2204.10714285714
"117",127,3,2300.56666666667
"118",127,4,2232.86206896552
"119",127,5,2073.24137931034
"120",127,6,1970.26666666667
"121",128,1,1634.84615384615
"122",128,2,1519.32142857143
"123",128,3,1606.38461538462
"124",128,4,1423.40740740741
"125",128,5,1555.8
"126",128,6,1579.13333333333
"127",129,1,2853.22222222222
"128",129,2,2274
"129",129,3,2162.1
"130",129,4,2342.96551724138
"131",129,5,2092.33333333333
"132",129,6,2050.56666666667
"133",130,1,1483.25925925926
"134",130,2,1890.46428571429
"135",130,3,1651.63333333333
"136",130,4,1206.5
"137",130,5,1596.13333333333
"138",130,6,1116.83333333333
"139",131,1,3065.34615384615
"140",131,2,3004.43333333333
"141",131,3,2957.76666666667
"142",131,4,2610.96551724138
"143",131,5,2716.06896551724
"144",131,6,2657.25
"145",132,1,2307.27586206897
"146",132,2,2422.80769230769
"147",132,3,2109.22222222222
"148",132,4,2147.66666666667
"149",132,5,2463.96666666667
"150",132,6,2149.20689655172
"151",133,1,1918.35714285714
"152",133,2,1613.34482758621
"153",133,3,1316.7037037037
"154",133,4,1492.06896551724
"155",133,5,1532.13793103448
"156",133,6,1366.37931034483
"157",136,1,2112.55555555556
"158",136,2,2050.36666666667
"159",136,3,1708.33333333333
"160",136,4,1609.06666666667
"161",136,5,1603.03333333333
"162",136,6,1480.73333333333
"163",137,1,4159.13636363636
"164",137,2,3185.07692307692
"165",137,3,2852.51724137931
"166",137,4,2354.76666666667
"167",137,5,2285.93103448276
"168",137,6,2211.46666666667
"169",138,1,2119.34615384615
"170",138,2,2281.62068965517
"171",138,3,2084.06666666667
"172",138,4,2107.75555555556
"173",138,5,2390.76086956522
"174",138,6,1972.23913043478
"175",139,1,3230.6
"176",139,2,3954.37209302326
"177",139,3,4086.13636363636
"178",139,4,3611.8
"179",139,5,3290.97826086957
"180",139,6,3226
"181",140,1,3293.42222222222
"182",140,2,2856.17777777778
"183",140,3,2485.37777777778
"184",140,4,2436.91304347826
"185",140,5,2338.93333333333
"186",140,6,2322.97826086957
"187",141,1,1413.63636363636
"188",141,2,1451.51162790698
"189",141,3,1505.95652173913
"190",141,4,1370.39130434783
"191",141,5,1321.70454545455
"192",141,6,1430.06818181818
"193",145,1,2324.57777777778
"194",145,2,2172.64444444444
"195",145,3,2202.36363636364
"196",145,4,2088.17391304348
"197",145,5,2326.69565217391
"198",145,6,2552.45
"199",147,1,1488.5
"200",147,2,1393.65384615385
"201",147,3,1474.91666666667
"202",147,4,1373.84615384615
"203",147,5,1563.28
"204",147,6,1449.46428571429
"205",148,1,1863.03703703704
"206",148,2,1506.07407407407
"207",148,3,1612.59259259259
"208",148,4,1461.34615384615
"209",148,5,1786.73913043478
"210",148,6,1379.92307692308
"211",149,1,2604.58333333333
"212",149,2,2446.76923076923
"213",149,3,2110.07142857143
"214",149,4,2273.96296296296
"215",149,5,1764.53571428571
"216",149,6,2018.17857142857
"217",150,1,2584.03571428571
"218",150,2,2320.51851851852
"219",150,3,2379.21428571429
"220",150,4,2134.25925925926
"221",150,5,1918.17857142857
"222",150,6,1780.57142857143
"223",151,1,2076.42857142857
"224",151,2,1943.07692307692
"225",151,3,1681.62962962963
"226",151,4,1840.24
"227",151,5,1889.64285714286
"228",151,6,2007.07142857143
"229",153,1,1140.55555555556
"230",153,2,1170.78571428571
"231",153,3,1197.19230769231
"232",153,4,1100.18518518519
"233",153,5,1103.2
"234",153,6,1019.10714285714
"235",154,1,2018.96428571429
"236",154,2,1681.11111111111
"237",154,3,1921.7037037037
"238",154,4,1692
"239",154,5,1735.66666666667
"240",154,6,1906.67857142857
"241",501,1,1470.86206896552
"242",501,2,1463.66666666667
"243",501,3,1352.33333333333
"244",501,4,1344.36666666667
"245",501,5,1227.66666666667
"246",501,6,1233.13333333333
"247",502,1,1750.27777777778
"248",502,2,1394.06666666667
"249",502,3,1162.43333333333
"250",502,4,1102.7
"251",502,5,982.766666666667
"252",502,6,1038.63333333333
"253",504,1,1773.58620689655
"254",504,2,2015.23333333333
"255",504,3,1879.33333333333
"256",504,4,1798.6
"257",504,5,1701.53333333333
"258",504,6,1641.23333333333
"259",507,1,2888.34615384615
"260",507,2,2428.10714285714
"261",507,3,2583.03703703704
"262",507,4,2520.89285714286
"263",507,5,2162.46428571429
"264",507,6,2293.17857142857
"265",508,1,1452.79310344828
"266",508,2,1515.23333333333
"267",508,3,1393.62068965517
"268",508,4,1348.03333333333
"269",508,5,1394.62068965517
"270",508,6,1337.68965517241
"271",509,1,1306.48148148148
"272",509,2,1350.75862068966
"273",509,3,1322.46666666667
"274",509,4,1287.16666666667
"275",509,5,1290.10714285714
"276",509,6,1506.41379310345
"277",511,1,2298.24137931034
"278",511,2,2499.62068965517
"279",511,3,2128.96666666667
"280",511,4,1905.36666666667
"281",511,5,2111.5
"282",511,6,1916.96551724138
"283",512,1,2162.86666666667
"284",512,2,1974.66666666667
"285",512,3,2034.23333333333
"286",512,4,1802.46666666667
"287",512,5,1803.86666666667
"288",512,6,2068
"289",513,1,1583.41379310345
"290",513,2,1280.6
"291",513,3,1448.43333333333
"292",513,4,1243.33333333333
"293",513,5,1169.76666666667
"294",513,6,1196.26666666667
"295",514,1,1772.24137931034
"296",514,2,1951.07142857143
"297",514,3,1869.85714285714
"298",514,4,1892.57142857143
"299",514,5,1477.5
"300",514,6,1604.34482758621
"301",515,1,1395.03333333333
"302",515,2,1300.76666666667
"303",515,3,1443.7
"304",515,4,1421.03333333333
"305",515,5,1388
"306",515,6,1285.26666666667
"307",516,1,1539.76666666667
"308",516,2,1430
"309",516,3,1283.1
"310",516,4,1331.23333333333
"311",516,5,1257.6
"312",516,6,1161
"313",517,1,1676.07142857143
"314",517,2,1328.79310344828
"315",517,3,1240.75
"316",517,4,1286
"317",517,5,1303.66666666667
"318",517,6,1159.92857142857
"319",518,1,1217.85714285714
"320",518,2,1096.07142857143
"321",518,3,1075.88461538462
"322",518,4,930.461538461538
"323",518,5,1051.6
"324",518,6,917.666666666667
"325",519,1,1335.67857142857
"326",519,2,1388.73333333333
"327",519,3,1294.06666666667
"328",519,4,1204.06666666667
"329",519,5,1190.34482758621
"330",519,6,1272.68965517241
"331",520,1,1972.36666666667
"332",520,2,2251.7
"333",520,3,2082.24137931034
"334",520,4,2015.51724137931
"335",520,5,1816.93103448276
"336",520,6,1736.75862068966
"337",521,1,1861.13333333333
"338",521,2,1841.14285714286
"339",521,3,1780.75
"340",521,4,2059.33333333333
"341",521,5,2396.93333333333
"342",521,6,2170.86206896552
"343",522,1,2349.72413793103
"344",522,2,2270.46428571429
"345",522,3,1777.24137931034
"346",522,4,2227.53333333333
"347",522,5,1789.68965517241
"348",522,6,2076.7
"349",523,1,1942.82142857143
"350",523,2,2117.9
"351",523,3,1809.96551724138
"352",523,4,1948.8275862069
"353",523,5,1708.26666666667
"354",523,6,1874.5
"355",524,1,2204.62068965517
"356",524,2,1725.32142857143
"357",524,3,1793.13793103448
"358",524,4,1717.07142857143
"359",524,5,2051.46666666667
"360",524,6,1942.53333333333
"361",525,1,2136.83333333333
"362",525,2,2202.8275862069
"363",525,3,2225.75862068966
"364",525,4,2272.31034482759
"365",525,5,2356.66666666667
"366",525,6,2221.79310344828
"367",526,1,1867.2
"368",526,2,1914.9
"369",526,3,1945.86206896552
"370",526,4,1873.23333333333
"371",526,5,1913.41379310345
"372",526,6,1301.51724137931
"373",527,1,1555.37931034483
"374",527,2,1403.53333333333
"375",527,3,1575.83333333333
"376",527,4,1420.3
"377",527,5,1361.93333333333
"378",527,6,1266.33333333333
"379",528,1,2298.51724137931
"380",528,2,2347.73333333333
"381",528,3,2441.2
"382",528,4,3078.7
"383",528,5,2688.63333333333
"384",528,6,2220.93333333333
"385",529,1,1306.88888888889
"386",529,2,1389.76470588235
"387",529,3,1062.28
"388",529,4,1303.36
"389",529,5,1458.59259259259
"390",529,6,1404.51851851852
"391",530,1,1813.2
"392",530,2,1591.2
"393",530,3,1648.8
"394",530,4,1474.03333333333
"395",530,5,1535.86206896552
"396",530,6,1634.23333333333
"397",531,1,2094.68965517241
"398",531,2,1924.56666666667
"399",531,3,2121.2
"400",531,4,1963.6
"401",531,5,2031.06666666667
"402",531,6,2106.48275862069
"403",532,1,2488.20689655172
"404",532,2,2243.37037037037
"405",532,3,2160.14285714286
"406",532,4,2437.14285714286
"407",532,5,2124.32142857143
"408",532,6,2393.4
"409",533,1,1960.26666666667
"410",533,2,1809.36666666667
"411",533,3,1575.37931034483
"412",533,4,1909.37931034483
"413",533,5,1575.33333333333
"414",533,6,1299.60714285714
"415",534,1,1747.88888888889
"416",534,2,1704.65517241379
"417",534,3,2146.86666666667
"418",534,4,1624.03448275862
"419",534,5,1536.33333333333
"420",534,6,1602.6
"421",535,1,1449.93333333333
"422",535,2,1167.1
"423",535,3,1260.03571428571
"424",535,4,1308.03448275862
"425",535,5,1152.06896551724
"426",535,6,1367.62068965517
"427",536,1,1761.3
"428",536,2,1731.23333333333
"429",536,3,1641.93103448276
"430",536,4,2027.75
"431",536,5,1730.3
"432",536,6,1600.76666666667
"433",537,1,1606
"434",537,2,1149.48148148148
"435",537,3,1281.34482758621
"436",537,4,1249.46428571429
"437",537,5,1137.9
"438",537,6,1212.51724137931
"439",538,1,1657.41379310345
"440",538,2,1781.13333333333
"441",538,3,1595.58620689655
"442",538,4,1657.93333333333
"443",538,5,1644.89655172414
"444",538,6,1383.53571428571
"445",539,1,1798.8
"446",539,2,1578.26666666667
"447",539,3,1381.89285714286
"448",539,4,1218.1
